#,Dichotomie,Type de Question,Preference,Question,Reponse
1,E/I,QCM (1-5),E,"Je planifie souvent des activités sociales pour me détendre après une semaine chargée.","[Score 1-5]"
2,E/I,QCM (1-5),E,"Je me sens plus efficace lorsque je peux organiser mes pensées à voix haute avec quelqu'un.","[Score 1-5]"
3,E/I,QCM (1-5),I,"La solitude prolongée est pour moi une source de calme et de ressourcement mental.","[Score 1-5]"
4,E/I,QCM (1-5),E,"Lorsque mon téléphone sonne, j’y réponds rapidement et sans hésitation.","[Score 1-5]"
5,E/I,QCM (1-5),E,"Je trouve les grands groupes et les fêtes animées plus énergisants que drainants.","[Score 1-5]"
6,E/I,QCM (1-5),I,"J'ai besoin de temps seul pour préparer et organiser ce que je vais dire.","[Score 1-5]"
7,E/I,QCM (1-5),E,"Je prends l'initiative d'engager la conversation avec des inconnus dans les lieux publics.","[Score 1-5]"
8,E/I,QCM (1-5),I,"Je préfère avoir un petit cercle d'amis proches que beaucoup de connaissances.","[Score 1-5]"
9,E/I,Ouverte,I/E,"Décrivez la dernière fois où vous avez été complètement submergé(e). Votre réflexe a-t-il été de vous isoler ou de chercher du soutien actif auprès des autres ?","[Texte Libre]"
10,E/I,Ouverte,I/E,"Racontez comment vous vous préparez mentalement pour une présentation importante. Écrivez-vous tout ou pratiquez-vous à l'oral avec des interactions ?","[Texte Libre]"

11,S/N,QCM (1-5),S,"J'ai une bonne mémoire pour les détails concrets et les faits passés (dates, noms).","[Score 1-5]"
12,S/N,QCM (1-5),N,"Je suis souvent plus intéressé par les idées abstraites et les concepts que par leur application pratique.","[Score 1-5]"
13,S/N,QCM (1-5),S,"Je suis sceptique face aux théories qui ne sont pas étayées par des preuves tangibles.","[Score 1-5]"
14,S/N,QCM (1-5),N,"Je m'ennuie si une discussion s'attarde trop longtemps sur les faits et les détails du présent.","[Score 1-5]"
15,S/N,QCM (1-5),N,"Je cherche souvent le sens caché ou les implications futures des événements quotidiens.","[Score 1-5]"
16,S/N,QCM (1-5),N,"Je peux rapidement sauter des étapes dans un manuel pour comprendre la vue d'ensemble.","[Score 1-5]"
17,S/N,QCM (1-5),S,"Je suis souvent considéré comme ayant les pieds sur terre et un sens pratique.","[Score 1-5]"
18,S/N,QCM (1-5),N,"J'aime créer de nouvelles méthodes plutôt que de suivre celles qui existent déjà.","[Score 1-5]"
19,S/N,Ouverte,S/N,"Vous devez résoudre un problème technique (ex : une panne). Décrivez votre approche : lisez-vous d'abord le manuel ou essayez-vous de comprendre le système global ?","[Texte Libre]"
20,S/N,Ouverte,S/N,"Décrivez un moment où vous avez eu une réalisation soudaine ou une intuition (Aha !). Était-ce un fait concret manquant ou une connexion abstraite ?","[Texte Libre]"

21,T/F,QCM (1-5),T,"Je me sens à l'aise de prendre des décisions uniquement basées sur la logique, même si elles sont impopulaires.","[Score 1-5]"
22,T/F,QCM (1-5),F,"Je suis très sensible à la critique et je la prends souvent personnellement.","[Score 1-5]"
23,T/F,QCM (1-5),T,"J'ai plus de facilité à dire non si la demande n'est pas logique que si elle est émotionnelle.","[Score 1-5]"
24,T/F,QCM (1-5),F,"Il est essentiel pour moi de maintenir l'harmonie et d'éviter les confrontations émotionnelles.","[Score 1-5]"
25,T/F,QCM (1-5),T,"Je juge une idée en fonction de sa cohérence et de sa validité objective, et non de qui la propose.","[Score 1-5]"
26,T/F,QCM (1-5),F,"Je me soucie plus de l’impact de mes décisions sur les personnes que de leur efficacité technique.","[Score 1-5]"
27,T/F,QCM (1-5),T,"Dans un conflit, je me concentre sur la recherche de la vérité et de la justice.","[Score 1-5]"
28,T/F,QCM (1-5),F,"Mes décisions sont souvent influencées par mes valeurs personnelles profondes.","[Score 1-5]"
29,T/F,Ouverte,T/F,"Vous devez confronter un ami qui a fait une erreur. Mettez-vous l'accent sur l’erreur logique ou sur l’impact émotionnel ?","[Texte Libre]"
30,T/F,Ouverte,T/F,"Décrivez un moment où vous avez été très fier de vous. Était-ce une réussite logique ou un acte de compassion ?","[Texte Libre]"

31,J/P,QCM (1-5),J,"Je me sens mal à l'aise tant que les choses importantes ne sont pas organisées.","[Score 1-5]"
32,J/P,QCM (1-5),P,"Je repousse souvent la finalisation d'un projet pour laisser des options ouvertes.","[Score 1-5]"
33,J/P,QCM (1-5),J,"J'ai tendance à arriver en avance ou très ponctuel.","[Score 1-5]"
34,J/P,QCM (1-5),P,"Je suis plus efficace sous la pression d'une urgence.","[Score 1-5]"
35,J/P,QCM (1-5),J,"Mon espace de travail est ordonné.","[Score 1-5]"
36,J/P,QCM (1-5),P,"Je suis très flexible et je m'adapte facilement si mes plans changent.","[Score 1-5]"
37,J/P,QCM (1-5),J,"J'apprécie d'avoir une routine et des attentes claires.","[Score 1-5]"
38,J/P,QCM (1-5),P,"Je commence souvent des tâches sans avoir une idée précise du résultat final.","[Score 1-5]"
39,J/P,Ouverte,J/P,"Lorsque vous planifiez un voyage, réservez-vous tout rapidement ou restez-vous flexible ?","[Texte Libre]"
40,J/P,Ouverte,J/P,"Lorsque vous commencez un nouveau projet, faites-vous un plan ou passez-vous directement à l’action ?","[Texte Libre]"
